Date,Casual,Member,Total_rides,WMO code,temp(°C),atemp(°C),windspeed,season,Season,mnth,holiday,weekday,workingday,Weekday,weathersit,humidity(%),year
2021-01-01,371,590,961,63.0,2.3,-0.9,10.6,1,Winter,1,True,4,False,Friday,4,,2021
2021-01-02,2874,2844,5718,61.0,7.6,4.8,19.1,1,Winter,1,False,5,False,Saturday,4,,2021
2021-01-03,495,1133,1628,63.0,3.9,0.9,13.0,1,Winter,1,False,6,False,Sunday,4,,2021
2021-01-04,907,2074,2981,3.0,4.1,1.0,13.3,1,Winter,1,False,0,True,Monday,1,,2021
2021-01-05,1057,2004,3061,51.0,4.0,1.4,9.2,1,Winter,1,False,1,True,Tuesday,4,,2021
2021-01-06,1359,1753,3112,3.0,3.4,-1.1,20.8,1,Winter,1,False,2,True,Wednesday,1,,2021
2021-01-07,1167,2143,3310,3.0,2.9,-1.3,14.4,1,Winter,1,False,3,True,Thursday,1,,2021
2021-01-08,784,2203,2987,3.0,0.7,-3.1,12.9,1,Winter,1,False,4,True,Friday,1,,2021
2021-01-09,1490,2582,4072,2.0,1.7,-3.8,19.4,1,Winter,1,False,5,False,Saturday,1,,2021
2021-01-10,1479,2522,4001,1.0,2.6,-1.8,18.7,1,Winter,1,False,6,False,Sunday,1,,2021
2021-01-11,677,2194,2871,3.0,1.5,-1.8,9.8,1,Winter,1,False,0,True,Monday,1,,2021
2021-01-12,919,2725,3644,0.0,1.3,-2.2,10.2,1,Winter,1,False,1,True,Tuesday,1,,2021
2021-01-13,1095,2788,3883,0.0,2.1,-1.3,9.7,1,Winter,1,False,2,True,Wednesday,1,,2021
2021-01-14,1095,2702,3797,2.0,3.5,0.3,9.2,1,Winter,1,False,3,True,Thursday,1,,2021
2021-01-15,924,2410,3334,53.0,4.4,1.0,18.9,1,Winter,1,False,4,True,Friday,4,,2021
2021-01-16,1850,2841,4691,53.0,4.3,0.6,16.2,1,Winter,1,False,5,False,Saturday,4,,2021
2021-01-17,1437,2308,3745,3.0,3.4,-1.0,19.6,1,Winter,1,False,6,False,Sunday,1,,2021
2021-01-18,1229,2212,3441,2.0,2.6,-1.9,20.8,1,Winter,1,True,0,False,Monday,1,,2021
2021-01-19,1185,2185,3370,3.0,2.3,-2.1,20.5,1,Winter,1,False,1,True,Tuesday,1,,2021
2021-01-20,995,1627,2622,53.0,1.4,-3.3,24.7,1,Winter,1,True,2,False,Wednesday,4,,2021
2021-01-21,1106,2423,3529,1.0,2.3,-1.7,12.3,1,Winter,1,False,3,True,Thursday,1,,2021
2021-01-22,1302,2734,4036,3.0,2.8,-1.6,20.4,1,Winter,1,False,4,True,Friday,1,,2021
2021-01-23,1145,2337,3482,3.0,-0.3,-5.9,23.6,1,Winter,1,False,5,False,Saturday,1,,2021
2021-01-24,1143,2166,3309,3.0,-0.9,-5.4,14.0,1,Winter,1,False,6,False,Sunday,1,,2021
2021-01-25,543,1847,2390,73.0,1.5,-2.1,10.0,1,Winter,1,False,0,True,Monday,4,,2021
2021-01-26,492,1505,1997,73.0,1.5,-1.4,11.9,1,Winter,1,False,1,True,Tuesday,4,,2021
2021-01-27,968,2560,3528,3.0,2.8,-1.1,17.2,1,Winter,1,False,2,True,Wednesday,1,,2021
2021-01-28,683,1984,2667,71.0,-0.1,-6.2,27.6,1,Winter,1,False,3,True,Thursday,4,,2021
2021-01-29,824,2046,2870,3.0,-1.9,-8.5,27.2,1,Winter,1,False,4,True,Friday,1,,2021
2021-01-30,1463,2535,3998,3.0,-1.4,-6.0,14.2,1,Winter,1,False,5,False,Saturday,1,,2021
2021-01-31,329,706,1035,75.0,-0.5,-4.8,17.9,1,Winter,1,False,6,False,Sunday,4,,2021
2021-02-01,227,746,973,73.0,-0.1,-4.9,18.9,1,Winter,2,False,0,True,Monday,4,,2021
2021-02-02,382,1069,1451,71.0,0.5,-5.1,23.7,1,Winter,2,False,1,True,Tuesday,4,,2021
2021-02-03,684,1792,2476,3.0,0.9,-5.0,26.3,1,Winter,2,False,2,True,Wednesday,1,,2021
2021-02-04,863,2311,3174,3.0,0.3,-4.5,20.8,1,Winter,2,False,3,True,Thursday,1,,2021
2021-02-05,1400,2849,4249,55.0,5.3,0.9,18.6,1,Winter,2,False,4,True,Friday,4,,2021
2021-02-06,2149,3263,5412,3.0,3.0,-1.3,22.3,1,Winter,2,False,5,False,Saturday,1,,2021
2021-02-07,757,1532,2289,75.0,2.1,-1.6,17.4,1,Winter,2,False,6,False,Sunday,4,,2021
2021-02-08,844,2048,2892,1.0,-3.9,-8.5,11.4,1,Winter,2,False,0,True,Monday,1,,2021
2021-02-09,920,2642,3562,3.0,2.8,-0.6,11.4,1,Winter,2,False,1,True,Tuesday,1,,2021
2021-02-10,569,1793,2362,75.0,1.6,-1.9,10.8,1,Winter,2,False,2,True,Wednesday,4,,2021
2021-02-11,566,1675,2241,75.0,0.7,-2.8,12.0,1,Winter,2,False,3,True,Thursday,4,,2021
2021-02-12,828,2201,3029,71.0,-1.8,-5.9,11.0,1,Winter,2,False,4,True,Friday,4,,2021
2021-02-13,236,649,885,73.0,-1.9,-6.2,12.5,1,Winter,2,False,5,False,Saturday,4,,2021
2021-02-14,829,1535,2364,3.0,0.0,-3.5,8.7,1,Winter,2,False,6,False,Sunday,1,,2021
2021-02-15,777,1943,2720,53.0,1.4,-1.9,13.7,1,Winter,2,True,0,False,Monday,4,,2021
2021-02-16,722,2127,2849,63.0,3.7,-0.0,23.5,1,Winter,2,False,1,True,Tuesday,4,,2021
2021-02-17,557,1392,1949,1.0,-1.9,-6.8,20.5,1,Winter,2,False,2,True,Wednesday,1,,2021
2021-02-18,217,527,744,75.0,-1.7,-5.9,15.1,1,Winter,2,False,3,True,Thursday,4,,2021
2021-02-19,524,1521,2045,73.0,0.0,-4.0,15.5,1,Winter,2,False,4,True,Friday,4,,2021
2021-02-20,796,1849,2645,3.0,-2.5,-8.3,23.4,1,Winter,2,False,5,False,Saturday,1,,2021
2021-02-21,919,2053,2972,2.0,-2.8,-7.1,15.9,1,Winter,2,False,6,False,Sunday,1,,2021
2021-02-22,334,1214,1548,73.0,0.7,-3.5,16.2,1,Winter,2,False,0,True,Monday,4,,2021
2021-02-23,957,2363,3320,51.0,4.2,-0.1,25.8,1,Winter,2,False,1,True,Tuesday,4,,2021
2021-02-24,1733,3449,5182,1.0,8.1,4.2,20.4,1,Winter,2,False,2,True,Wednesday,1,,2021
2021-02-25,1290,2891,4181,1.0,7.5,3.5,21.4,1,Winter,2,False,3,True,Thursday,1,,2021
2021-02-26,1230,2543,3773,71.0,4.7,0.9,12.8,1,Winter,2,False,4,True,Friday,4,,2021
2021-02-27,2130,2949,5079,73.0,6.6,4.3,12.5,1,Winter,2,False,5,False,Saturday,4,,2021
2021-02-28,371,768,1139,63.0,6.7,4.6,15.5,1,Winter,2,False,6,False,Sunday,4,,2021
2021-03-01,753,1750,2503,63.0,8.4,5.2,27.8,1,Winter,3,False,0,True,Monday,4,,2021
2021-03-02,1014,2459,3473,0.0,2.3,-2.7,20.6,1,Winter,3,False,1,True,Tuesday,1,,2021
2021-03-03,1615,3256,4871,0.0,5.2,1.3,12.6,1,Winter,3,False,2,True,Wednesday,1,,2021
2021-03-04,1107,2709,3816,3.0,6.1,1.2,24.2,1,Winter,3,False,3,True,Thursday,1,,2021
2021-03-05,1048,2586,3634,2.0,1.6,-4.3,27.8,1,Winter,3,False,4,True,Friday,1,,2021
2021-03-06,2323,2869,5192,3.0,2.1,-3.0,21.2,1,Winter,3,False,5,False,Saturday,1,,2021
2021-03-07,1835,2456,4291,0.0,1.5,-2.6,13.8,1,Winter,3,False,6,False,Sunday,1,,2021
2021-03-08,1183,2580,3763,1.0,3.2,-0.6,10.7,1,Winter,3,False,0,True,Monday,1,,2021
2021-03-09,2067,3397,5464,1.0,9.8,6.7,14.0,1,Winter,3,False,1,True,Tuesday,1,,2021
2021-03-10,2389,3875,6264,1.0,10.9,8.5,13.0,1,Winter,3,False,2,True,Wednesday,1,,2021
2021-03-11,2913,4166,7079,2.0,15.4,12.7,17.4,1,Winter,3,False,3,True,Thursday,1,,2021
2021-03-12,2712,3703,6415,3.0,15.9,13.6,15.5,1,Winter,3,False,4,True,Friday,1,,2021
2021-03-13,4497,3758,8255,1.0,9.5,5.2,20.8,1,Winter,3,False,5,False,Saturday,1,,2021
2021-03-14,3640,3292,6932,1.0,9.0,3.8,30.0,1,Winter,3,False,6,False,Sunday,1,,2021
