instant,Date,season,yr,mnth,holiday,weekday,workingday,weathersit,temp(°C),atemp(°C),humidity(%),windspeed,Casual,Member,Total_rides,Weekday,Season
1,2011-01-01,1,0,1,False,5,False,2,8.2,8.0,80.6,17.3,331,654,985,Saturday,Winter
2,2011-01-02,1,0,1,False,6,False,2,9.1,7.3,69.6,26.8,131,670,801,Sunday,Winter
3,2011-01-03,1,0,1,False,0,True,1,1.2,-3.5,43.7,26.8,120,1229,1349,Monday,Winter
4,2011-01-04,1,0,1,False,1,True,1,1.4,-2.0,59.0,17.3,108,1454,1562,Tuesday,Winter
5,2011-01-05,1,0,1,False,2,True,1,2.7,-0.9,43.7,20.2,82,1518,1600,Wednesday,Winter
6,2011-01-06,1,0,1,False,3,True,1,1.6,-0.6,51.8,9.7,88,1518,1606,Thursday,Winter
7,2011-01-07,1,0,1,False,4,True,2,1.2,-2.2,49.9,18.2,148,1362,1510,Friday,Winter
8,2011-01-08,1,0,1,False,5,False,2,-0.2,-5.3,53.6,28.8,68,891,959,Saturday,Winter
9,2011-01-09,1,0,1,False,6,False,1,-1.5,-8.3,43.4,39.0,54,768,822,Sunday,Winter
10,2011-01-10,1,0,1,False,0,True,1,-0.9,-6.0,48.3,24.1,41,1280,1321,Monday,Winter
11,2011-01-11,1,0,1,False,1,True,2,-0.1,-3.4,68.6,13.2,43,1220,1263,Tuesday,Winter
12,2011-01-12,1,0,1,False,2,True,1,0.1,-5.4,60.0,32.8,25,1137,1162,Wednesday,Winter
13,2011-01-13,1,0,1,False,3,True,1,-0.2,-6.0,47.0,32.5,38,1368,1406,Thursday,Winter
14,2011-01-14,1,0,1,False,4,True,1,-0.4,-3.6,53.8,13.6,54,1367,1421,Friday,Winter
15,2011-01-15,1,0,1,False,5,False,2,3.0,0.4,49.9,17.0,222,1026,1248,Saturday,Winter
16,2011-01-16,1,0,1,False,6,False,1,2.9,-0.5,48.4,20.3,251,953,1204,Sunday,Winter
17,2011-01-17,1,0,1,True,0,False,2,0.3,-4.3,53.8,20.9,117,883,1000,Monday,Winter
18,2011-01-18,1,0,1,False,1,True,2,2.2,-0.7,86.2,15.8,9,674,683,Tuesday,Winter
19,2011-01-19,1,0,1,False,2,True,2,5.7,3.7,74.2,22.5,78,1572,1650,Wednesday,Winter
20,2011-01-20,1,0,1,False,3,True,2,4.3,0.8,53.8,21.1,83,1844,1927,Thursday,Winter
21,2011-01-21,1,0,1,False,4,True,1,0.3,-5.6,45.7,38.1,75,1468,1543,Friday,Winter
22,2011-01-22,1,0,1,False,5,False,1,-5.2,-10.8,40.0,18.5,93,888,981,Saturday,Winter
23,2011-01-23,1,0,1,False,6,False,1,-3.5,-9.5,43.7,26.6,150,836,986,Sunday,Winter
24,2011-01-24,1,0,1,False,0,True,1,-3.4,-8.2,49.2,17.1,86,1330,1416,Monday,Winter
25,2011-01-25,1,0,1,False,1,True,2,2.5,-0.5,61.7,14.0,186,1799,1985,Tuesday,Winter
26,2011-01-26,1,0,1,False,2,True,3,2.2,-2.6,86.2,31.7,34,472,506,Wednesday,Winter
27,2011-01-27,1,0,1,False,3,True,1,1.2,-1.5,68.8,12.3,15,416,431,Thursday,Winter
28,2011-01-28,1,0,1,False,4,True,2,1.6,-1.3,79.3,13.3,38,1129,1167,Friday,Winter
29,2011-01-29,1,0,1,False,5,False,1,1.2,-2.0,65.2,15.7,123,975,1098,Saturday,Winter
30,2011-01-30,1,0,1,False,6,False,1,2.2,0.5,72.2,8.0,140,956,1096,Sunday,Winter
31,2011-01-31,1,0,1,False,0,True,2,0.5,-3.7,60.4,20.2,42,1459,1501,Monday,Winter
32,2011-02-01,1,0,2,False,1,True,2,1.0,-0.5,83.0,5.7,47,1313,1360,Tuesday,Winter
33,2011-02-02,1,0,2,False,2,True,2,4.2,0.8,77.5,28.5,72,1454,1526,Wednesday,Winter
34,2011-02-03,1,0,2,False,3,True,1,0.8,-4.3,43.8,29.9,61,1489,1550,Thursday,Winter
35,2011-02-04,1,0,2,False,4,True,2,1.9,-0.9,58.5,13.8,88,1620,1708,Friday,Winter
36,2011-02-05,1,0,2,False,5,False,2,3.0,0.0,92.9,17.4,100,905,1005,Saturday,Winter
37,2011-02-06,1,0,2,False,6,False,1,5.4,3.3,56.8,15.3,354,1269,1623,Sunday,Winter
38,2011-02-07,1,0,2,False,0,True,1,4.8,4.0,73.8,4.9,120,1592,1712,Monday,Winter
39,2011-02-08,1,0,2,False,1,True,1,2.4,-2.9,53.8,39.0,64,1466,1530,Tuesday,Winter
40,2011-02-09,1,0,2,False,2,True,2,-1.7,-6.5,49.5,20.4,53,1552,1605,Wednesday,Winter
41,2011-02-10,1,0,2,False,3,True,1,-1.2,-6.1,43.7,23.9,47,1491,1538,Thursday,Winter
42,2011-02-11,1,0,2,False,4,True,1,0.9,-1.9,50.6,11.7,149,1597,1746,Friday,Winter
43,2011-02-12,1,0,2,False,5,False,1,2.5,-0.6,54.4,21.9,288,1184,1472,Saturday,Winter
44,2011-02-13,1,0,2,False,6,False,1,6.9,5.4,45.7,28.1,397,1192,1589,Sunday,Winter
45,2011-02-14,1,0,2,False,0,True,1,11.5,10.3,37.6,45.1,208,1705,1913,Monday,Winter
46,2011-02-15,1,0,2,False,1,True,1,4.5,0.8,31.4,31.4,140,1675,1815,Tuesday,Winter
47,2011-02-16,1,0,2,False,2,True,1,7.0,4.9,42.3,27.1,218,1897,2115,Wednesday,Winter
48,2011-02-17,1,0,2,False,3,True,1,12.5,12.3,50.5,24.8,259,2216,2475,Thursday,Winter
49,2011-02-18,1,0,2,False,4,True,1,16.5,17.8,51.7,28.6,579,2348,2927,Friday,Winter
50,2011-02-19,1,0,2,False,5,False,1,10.8,9.8,18.8,54.7,532,1103,1635,Saturday,Winter
51,2011-02-20,1,0,2,False,6,False,1,5.4,2.3,40.8,24.1,639,1173,1812,Sunday,Winter
52,2011-02-21,1,0,2,True,0,False,2,6.3,2.7,60.5,33.2,195,912,1107,Monday,Winter
53,2011-02-22,1,0,2,False,1,True,1,0.6,-3.7,57.8,21.1,74,1376,1450,Tuesday,Winter
54,2011-02-23,1,0,2,False,2,True,1,2.4,0.2,42.3,10.1,139,1778,1917,Wednesday,Winter
55,2011-02-24,1,0,2,False,3,True,2,5.9,3.1,69.7,27.0,100,1707,1807,Thursday,Winter
56,2011-02-25,1,0,2,False,4,True,2,9.1,7.1,71.2,37.4,120,1341,1461,Friday,Winter
57,2011-02-26,1,0,2,False,5,False,1,5.3,2.6,53.8,20.1,424,1545,1969,Saturday,Winter
58,2011-02-27,1,0,2,False,6,False,1,8.1,7.2,68.0,13.5,694,1708,2402,Sunday,Winter
59,2011-02-28,1,0,2,False,0,True,2,11.1,10.4,87.6,31.2,81,1365,1446,Monday,Winter
60,2011-03-01,1,0,3,False,1,True,1,4.5,1.4,53.5,23.3,137,1714,1851,Tuesday,Winter
61,2011-03-02,1,0,3,False,2,True,1,7.7,5.1,45.0,33.2,231,1903,2134,Wednesday,Winter
62,2011-03-03,1,0,3,False,3,True,1,1.3,-2.8,31.8,24.3,123,1562,1685,Thursday,Winter
63,2011-03-04,1,0,3,False,4,True,2,4.3,0.9,61.0,21.9,214,1730,1944,Friday,Winter
64,2011-03-05,1,0,3,False,5,False,2,10.1,9.0,78.9,27.2,640,1437,2077,Saturday,Winter
65,2011-03-06,1,0,3,False,6,False,2,9.7,8.2,94.8,37.0,114,491,605,Sunday,Winter
66,2011-03-07,1,0,3,False,0,True,1,4.3,-0.3,55.1,36.8,244,1628,1872,Monday,Winter
67,2011-03-08,1,0,3,False,1,True,1,5.7,4.0,42.1,13.0,316,1817,2133,Tuesday,Winter
68,2011-03-09,1,0,3,False,2,True,2,5.9,2.9,77.5,23.7,191,1700,1891,Wednesday,Winter
69,2011-03-10,1,0,3,False,3,True,3,10.3,9.5,93.0,28.2,46,577,623,Thursday,Winter
70,2011-03-11,1,0,3,False,4,True,2,6.9,4.1,65.0,25.1,247,1730,1977,Friday,Winter
71,2011-03-12,1,0,3,False,5,False,1,7.5,5.5,59.5,23.8,724,1408,2132,Saturday,Winter
72,2011-03-13,1,0,3,False,6,False,1,10.1,9.1,52.7,29.2,982,1435,2417,Sunday,Winter
73,2011-03-14,1,0,3,False,0,True,1,7.3,5.9,49.7,14.8,359,1687,2046,Monday,Winter
74,2011-03-15,1,0,3,False,1,True,2,6.9,5.0,65.6,19.9,289,1767,2056,Tuesday,Winter
75,2011-03-16,1,0,3,False,2,True,2,9.2,8.2,77.7,21.9,321,1871,2192,Wednesday,Winter
76,2011-03-17,1,0,3,False,3,True,1,11.5,11.1,60.3,22.6,424,2320,2744,Thursday,Winter
77,2011-03-18,1,0,3,False,4,True,1,17.4,18.8,52.5,24.9,884,2355,3239,Friday,Winter
78,2011-03-19,1,0,3,False,5,False,1,14.2,14.8,37.9,39.7,1424,1693,3117,Saturday,Winter
79,2011-03-20,1,0,3,False,6,False,1,7.6,5.5,47.4,22.4,1047,1424,2471,Sunday,Winter
80,2011-03-21,2,0,3,False,0,True,2,12.2,11.0,73.7,31.1,401,1676,2077,Monday,Spring
81,2011-03-22,2,0,3,False,1,True,1,12.8,13.1,62.5,24.3,460,2243,2703,Tuesday,Spring
82,2011-03-23,2,0,3,False,2,True,2,8.3,6.3,84.0,25.3,203,1918,2121,Wednesday,Spring
83,2011-03-24,2,0,3,False,3,True,2,5.4,1.9,80.6,26.3,166,1699,1865,Thursday,Spring
84,2011-03-25,2,0,3,False,4,True,1,4.4,0.9,49.5,24.9,300,1910,2210,Friday,Spring
85,2011-03-26,2,0,3,False,5,False,1,4.5,1.0,39.4,22.6,981,1515,2496,Saturday,Spring
86,2011-03-27,2,0,3,False,6,False,2,3.9,0.5,49.4,19.9,472,1221,1693,Sunday,Spring
87,2011-03-28,2,0,3,False,0,True,1,4.4,1.0,30.2,22.9,222,1806,2028,Monday,Spring
88,2011-03-29,2,0,3,False,1,True,1,6.2,3.3,31.4,24.5,317,2108,2425,Tuesday,Spring
89,2011-03-30,2,0,3,False,2,True,2,6.1,3.6,64.7,18.6,168,1368,1536,Wednesday,Spring
90,2011-03-31,2,0,3,False,3,True,3,4.6,1.0,91.8,23.5,179,1506,1685,Thursday,Spring
91,2011-04-01,2,0,4,False,4,True,2,6.1,2.7,68.6,27.9,307,1920,2227,Friday,Spring
92,2011-04-02,2,0,4,False,5,False,2,6.8,4.8,65.4,21.3,898,1354,2252,Saturday,Spring
93,2011-04-03,2,0,4,False,6,False,1,9.8,9.0,48.0,19.6,1651,1598,3249,Sunday,Spring
94,2011-04-04,2,0,4,False,0,True,1,18.9,19.8,42.6,41.6,734,2381,3115,Monday,Spring
95,2011-04-05,2,0,4,False,1,True,2,11.5,10.3,64.2,41.8,167,1628,1795,Tuesday,Spring
96,2011-04-06,2,0,4,False,2,True,1,10.4,9.6,47.1,28.4,413,2395,2808,Wednesday,Spring
97,2011-04-07,2,0,4,False,3,True,1,12.6,12.6,60.3,17.5,571,2570,3141,Thursday,Spring
98,2011-04-08,2,0,4,False,4,True,2,7.8,5.4,83.6,24.5,172,1299,1471,Friday,Spring
99,2011-04-09,2,0,4,False,5,False,2,8.1,6.5,87.8,14.3,879,1576,2455,Saturday,Spring
