instant,Date,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp(°C),atemp,humidity(%),windspeed,Casual,Member,Total_rides,Weekday,Season
1,2011-01-01,1,0,1,0,False,5,False,1,3.3,3.0,81.0,0.0,3,13,16,Saturday,Winter
2,2011-01-01,1,0,1,1,False,5,False,1,2.3,2.0,80.0,0.0,8,32,40,Saturday,Winter
3,2011-01-01,1,0,1,2,False,5,False,1,2.3,2.0,80.0,0.0,5,27,32,Saturday,Winter
4,2011-01-01,1,0,1,3,False,5,False,1,3.3,3.0,75.0,0.0,3,10,13,Saturday,Winter
5,2011-01-01,1,0,1,4,False,5,False,1,3.3,3.0,75.0,0.0,0,1,1,Saturday,Winter
6,2011-01-01,1,0,1,5,False,5,False,2,3.3,1.0,75.0,9.7,0,1,1,Saturday,Winter
7,2011-01-01,1,0,1,6,False,5,False,1,2.3,2.0,80.0,0.0,2,0,2,Saturday,Winter
8,2011-01-01,1,0,1,7,False,5,False,1,1.4,1.0,86.0,0.0,1,2,3,Saturday,Winter
9,2011-01-01,1,0,1,8,False,5,False,1,3.3,3.0,75.0,0.0,1,7,8,Saturday,Winter
10,2011-01-01,1,0,1,9,False,5,False,1,7.0,7.0,76.0,0.0,8,6,14,Saturday,Winter
11,2011-01-01,1,0,1,10,False,5,False,1,9.9,10.0,76.0,27.4,12,24,36,Saturday,Winter
12,2011-01-01,1,0,1,11,False,5,False,1,8.9,6.0,81.0,30.6,26,30,56,Saturday,Winter
13,2011-01-01,1,0,1,12,False,5,False,1,11.7,12.0,77.0,30.6,29,55,84,Saturday,Winter
14,2011-01-01,1,0,1,13,False,5,False,2,13.6,14.0,72.0,32.2,47,47,94,Saturday,Winter
15,2011-01-01,1,0,1,14,False,5,False,2,13.6,14.0,72.0,30.6,35,71,106,Saturday,Winter
16,2011-01-01,1,0,1,15,False,5,False,2,12.7,13.0,77.0,32.2,40,70,110,Saturday,Winter
17,2011-01-01,1,0,1,16,False,5,False,2,11.7,12.0,82.0,32.2,41,52,93,Saturday,Winter
18,2011-01-01,1,0,1,17,False,5,False,2,12.7,13.0,82.0,30.6,15,52,67,Saturday,Winter
19,2011-01-01,1,0,1,18,False,5,False,3,11.7,12.0,88.0,27.4,9,26,35,Saturday,Winter
20,2011-01-01,1,0,1,19,False,5,False,3,11.7,12.0,88.0,27.4,6,31,37,Saturday,Winter
21,2011-01-01,1,0,1,20,False,5,False,2,10.8,11.0,87.0,27.4,11,25,36,Saturday,Winter
22,2011-01-01,1,0,1,21,False,5,False,2,10.8,11.0,87.0,20.9,3,31,34,Saturday,Winter
23,2011-01-01,1,0,1,22,False,5,False,2,10.8,11.0,94.0,24.1,11,17,28,Saturday,Winter
24,2011-01-01,1,0,1,23,False,5,False,2,13.6,14.0,88.0,32.2,15,24,39,Saturday,Winter
25,2011-01-02,1,0,1,0,False,6,False,2,13.6,14.0,88.0,32.2,4,13,17,Sunday,Winter
26,2011-01-02,1,0,1,1,False,6,False,2,12.7,13.0,94.0,27.4,1,16,17,Sunday,Winter
27,2011-01-02,1,0,1,2,False,6,False,2,11.7,12.0,100.0,30.6,1,8,9,Sunday,Winter
28,2011-01-02,1,0,1,3,False,6,False,2,13.6,14.0,94.0,20.9,2,4,6,Sunday,Winter
29,2011-01-02,1,0,1,4,False,6,False,2,13.6,14.0,94.0,20.9,2,1,3,Sunday,Winter
30,2011-01-02,1,0,1,6,False,6,False,3,11.7,12.0,77.0,32.2,0,2,2,Sunday,Winter
31,2011-01-02,1,0,1,7,False,6,False,2,10.8,11.0,76.0,20.9,0,1,1,Sunday,Winter
32,2011-01-02,1,0,1,8,False,6,False,3,10.8,11.0,71.0,24.1,0,8,8,Sunday,Winter
33,2011-01-02,1,0,1,9,False,6,False,2,9.9,10.0,76.0,24.1,1,19,20,Sunday,Winter
34,2011-01-02,1,0,1,10,False,6,False,2,8.9,7.0,81.0,24.1,7,46,53,Sunday,Winter
35,2011-01-02,1,0,1,11,False,6,False,2,8.9,6.0,71.0,27.4,16,54,70,Sunday,Winter
36,2011-01-02,1,0,1,12,False,6,False,2,8.9,6.0,66.0,32.2,20,73,93,Sunday,Winter
37,2011-01-02,1,0,1,13,False,6,False,2,8.9,7.0,66.0,14.5,11,64,75,Sunday,Winter
38,2011-01-02,1,0,1,14,False,6,False,3,8.9,7.0,76.0,20.9,4,55,59,Sunday,Winter
39,2011-01-02,1,0,1,15,False,6,False,3,8.0,6.0,81.0,17.7,19,55,74,Sunday,Winter
40,2011-01-02,1,0,1,16,False,6,False,3,8.0,6.0,71.0,17.7,9,67,76,Sunday,Winter
41,2011-01-02,1,0,1,17,False,6,False,1,8.0,6.0,57.0,20.9,7,58,65,Sunday,Winter
42,2011-01-02,1,0,1,18,False,6,False,2,8.9,6.0,46.0,35.4,10,43,53,Sunday,Winter
43,2011-01-02,1,0,1,19,False,6,False,1,7.0,3.0,42.0,48.3,1,29,30,Sunday,Winter
44,2011-01-02,1,0,1,20,False,6,False,1,6.1,2.0,39.0,38.6,5,17,22,Sunday,Winter
45,2011-01-02,1,0,1,21,False,6,False,1,4.2,-1.0,44.0,35.4,11,20,31,Sunday,Winter
46,2011-01-02,1,0,1,22,False,6,False,1,3.3,-2.0,44.0,32.2,0,9,9,Sunday,Winter
47,2011-01-02,1,0,1,23,False,6,False,1,2.3,-1.0,47.0,17.7,0,8,8,Sunday,Winter
48,2011-01-03,1,0,1,0,False,0,True,1,2.3,-3.0,44.0,38.6,0,5,5,Monday,Winter
49,2011-01-03,1,0,1,1,False,0,True,1,1.4,-5.0,44.0,45.1,0,2,2,Monday,Winter
50,2011-01-03,1,0,1,4,False,0,True,1,-0.5,-7.0,47.0,41.8,0,1,1,Monday,Winter
51,2011-01-03,1,0,1,5,False,0,True,1,-0.5,-7.0,47.0,30.6,0,3,3,Monday,Winter
52,2011-01-03,1,0,1,6,False,0,True,1,-1.4,-9.0,50.0,41.8,0,30,30,Monday,Winter
53,2011-01-03,1,0,1,7,False,0,True,1,-1.4,-7.0,50.0,20.9,1,63,64,Monday,Winter
54,2011-01-03,1,0,1,8,False,0,True,1,-1.4,-8.0,50.0,30.6,1,153,154,Monday,Winter
55,2011-01-03,1,0,1,9,False,0,True,1,-0.5,-7.0,43.0,41.8,7,81,88,Monday,Winter
56,2011-01-03,1,0,1,10,False,0,True,1,0.5,-5.0,43.0,27.4,11,33,44,Monday,Winter
57,2011-01-03,1,0,1,11,False,0,True,1,1.4,-4.0,40.0,35.4,10,41,51,Monday,Winter
58,2011-01-03,1,0,1,12,False,0,True,1,2.3,-2.0,35.0,32.2,13,48,61,Monday,Winter
59,2011-01-03,1,0,1,13,False,0,True,1,3.3,-2.0,35.0,30.6,8,53,61,Monday,Winter
60,2011-01-03,1,0,1,14,False,0,True,1,4.2,-0.0,30.0,30.6,11,66,77,Monday,Winter
61,2011-01-03,1,0,1,15,False,0,True,1,4.2,-0.0,30.0,27.4,14,58,72,Monday,Winter
62,2011-01-03,1,0,1,16,False,0,True,1,4.2,-0.0,30.0,27.4,9,67,76,Monday,Winter
63,2011-01-03,1,0,1,17,False,0,True,1,3.3,-1.0,30.0,24.1,11,146,157,Monday,Winter
64,2011-01-03,1,0,1,18,False,0,True,1,3.3,1.0,32.0,11.3,9,148,157,Monday,Winter
65,2011-01-03,1,0,1,19,False,0,True,1,1.4,1.0,47.0,0.0,8,102,110,Monday,Winter
66,2011-01-03,1,0,1,20,False,0,True,1,1.4,-1.0,47.0,11.3,3,49,52,Monday,Winter
67,2011-01-03,1,0,1,21,False,0,True,1,0.5,-3.0,64.0,14.5,3,49,52,Monday,Winter
68,2011-01-03,1,0,1,22,False,0,True,1,-1.4,-6.0,69.0,14.5,0,20,20,Monday,Winter
69,2011-01-03,1,0,1,23,False,0,True,1,0.5,-2.0,55.0,11.3,1,11,12,Monday,Winter
70,2011-01-04,1,0,1,0,False,1,True,1,-0.5,-4.0,55.0,11.3,0,5,5,Tuesday,Winter
71,2011-01-04,1,0,1,1,False,1,True,1,-0.5,-4.0,59.0,11.3,0,2,2,Tuesday,Winter
72,2011-01-04,1,0,1,2,False,1,True,1,-1.4,-6.0,63.0,14.5,0,1,1,Tuesday,Winter
73,2011-01-04,1,0,1,4,False,1,True,1,-1.4,-4.0,63.0,9.7,0,2,2,Tuesday,Winter
74,2011-01-04,1,0,1,5,False,1,True,1,-2.4,-6.0,68.0,11.3,0,4,4,Tuesday,Winter
75,2011-01-04,1,0,1,6,False,1,True,1,-2.4,-6.0,74.0,11.3,0,36,36,Tuesday,Winter
76,2011-01-04,1,0,1,7,False,1,True,1,-2.4,-6.0,74.0,14.5,2,92,94,Tuesday,Winter
77,2011-01-04,1,0,1,8,False,1,True,1,-1.4,-6.0,69.0,17.7,2,177,179,Tuesday,Winter
78,2011-01-04,1,0,1,9,False,1,True,1,-0.5,-6.0,64.0,24.1,2,98,100,Tuesday,Winter
79,2011-01-04,1,0,1,10,False,1,True,2,-0.5,-7.0,69.0,35.4,5,37,42,Tuesday,Winter
80,2011-01-04,1,0,1,11,False,1,True,1,2.3,-2.0,51.0,32.2,7,50,57,Tuesday,Winter
81,2011-01-04,1,0,1,12,False,1,True,1,2.3,-1.0,51.0,17.7,12,66,78,Tuesday,Winter
82,2011-01-04,1,0,1,13,False,1,True,1,3.3,-1.0,56.0,20.9,18,79,97,Tuesday,Winter
83,2011-01-04,1,0,1,14,False,1,True,1,4.2,1.0,52.0,24.1,9,54,63,Tuesday,Winter
84,2011-01-04,1,0,1,15,False,1,True,1,5.2,2.0,52.0,27.4,17,48,65,Tuesday,Winter
85,2011-01-04,1,0,1,16,False,1,True,1,6.1,3.0,49.0,27.4,15,68,83,Tuesday,Winter
86,2011-01-04,1,0,1,17,False,1,True,1,5.2,2.0,48.0,24.1,10,202,212,Tuesday,Winter
87,2011-01-04,1,0,1,18,False,1,True,1,4.2,1.0,48.0,20.9,3,179,182,Tuesday,Winter
88,2011-01-04,1,0,1,19,False,1,True,1,3.3,1.0,48.0,11.3,2,110,112,Tuesday,Winter
89,2011-01-04,1,0,1,20,False,1,True,1,3.3,1.0,48.0,11.3,1,53,54,Tuesday,Winter
90,2011-01-04,1,0,1,21,False,1,True,1,2.3,2.0,64.0,0.0,0,48,48,Tuesday,Winter
91,2011-01-04,1,0,1,22,False,1,True,1,2.3,1.0,64.0,9.7,1,34,35,Tuesday,Winter
92,2011-01-04,1,0,1,23,False,1,True,1,1.4,-1.0,69.0,9.7,2,9,11,Tuesday,Winter
93,2011-01-05,1,0,1,0,False,2,True,1,1.4,1.0,64.0,0.0,0,6,6,Wednesday,Winter
94,2011-01-05,1,0,1,1,False,2,True,1,-0.5,-3.0,74.0,9.7,0,6,6,Wednesday,Winter
95,2011-01-05,1,0,1,2,False,2,True,1,-0.5,-3.0,74.0,9.7,0,2,2,Wednesday,Winter
96,2011-01-05,1,0,1,4,False,2,True,1,3.3,-1.0,48.0,24.1,0,2,2,Wednesday,Winter
97,2011-01-05,1,0,1,5,False,2,True,1,2.3,-1.0,47.0,17.7,0,3,3,Wednesday,Winter
98,2011-01-05,1,0,1,6,False,2,True,1,1.4,-3.0,47.0,24.1,0,33,33,Wednesday,Winter
99,2011-01-05,1,0,1,7,False,2,True,1,0.5,-4.0,43.0,20.9,1,87,88,Wednesday,Winter
100,2011-01-05,1,0,1,8,False,2,True,1,1.4,-4.0,40.0,32.2,3,192,195,Wednesday,Winter
101,2011-01-05,1,0,1,9,False,2,True,1,2.3,-3.0,37.0,35.4,6,109,115,Wednesday,Winter
102,2011-01-05,1,0,1,10,False,2,True,1,2.3,-3.0,37.0,35.4,4,53,57,Wednesday,Winter
103,2011-01-05,1,0,1,11,False,2,True,1,4.2,-1.0,33.0,35.4,12,34,46,Wednesday,Winter
104,2011-01-05,1,0,1,12,False,2,True,1,4.2,-1.0,33.0,35.4,5,74,79,Wednesday,Winter
105,2011-01-05,1,0,1,13,False,2,True,1,5.2,1.0,30.0,32.2,6,65,71,Wednesday,Winter
106,2011-01-05,1,0,1,14,False,2,True,1,6.1,3.0,28.0,20.9,10,52,62,Wednesday,Winter
107,2011-01-05,1,0,1,15,False,2,True,1,6.1,3.0,28.0,20.9,7,55,62,Wednesday,Winter
108,2011-01-05,1,0,1,16,False,2,True,1,6.1,5.0,28.0,9.7,4,85,89,Wednesday,Winter
109,2011-01-05,1,0,1,17,False,2,True,1,3.3,-1.0,38.0,20.9,4,186,190,Wednesday,Winter
110,2011-01-05,1,0,1,18,False,2,True,1,3.3,-0.0,38.0,14.5,3,166,169,Wednesday,Winter
111,2011-01-05,1,0,1,19,False,2,True,1,3.3,1.0,38.0,11.3,5,127,132,Wednesday,Winter
112,2011-01-05,1,0,1,20,False,2,True,1,2.3,-1.0,47.0,17.7,7,82,89,Wednesday,Winter
113,2011-01-05,1,0,1,21,False,2,True,1,1.4,-3.0,51.0,20.9,3,40,43,Wednesday,Winter
114,2011-01-05,1,0,1,22,False,2,True,1,0.5,-3.0,55.0,14.5,1,41,42,Wednesday,Winter
115,2011-01-05,1,0,1,23,False,2,True,1,1.4,1.0,47.0,0.0,1,18,19,Wednesday,Winter
116,2011-01-06,1,0,1,0,False,3,True,1,0.5,-0.0,55.0,0.0,0,11,11,Thursday,Winter
117,2011-01-06,1,0,1,1,False,3,True,1,-0.5,-1.0,64.0,0.0,0,4,4,Thursday,Winter
118,2011-01-06,1,0,1,2,False,3,True,1,-0.5,-1.0,64.0,0.0,0,2,2,Thursday,Winter
119,2011-01-06,1,0,1,4,False,3,True,2,-0.5,-3.0,64.0,9.7,0,1,1,Thursday,Winter
120,2011-01-06,1,0,1,5,False,3,True,2,-1.4,-4.0,69.0,9.7,0,4,4,Thursday,Winter
121,2011-01-06,1,0,1,6,False,3,True,2,-1.4,-5.0,63.0,11.3,0,36,36,Thursday,Winter
122,2011-01-06,1,0,1,7,False,3,True,2,-0.5,-1.0,59.0,0.0,0,95,95,Thursday,Winter
123,2011-01-06,1,0,1,8,False,3,True,1,-0.5,-1.0,59.0,0.0,3,216,219,Thursday,Winter
124,2011-01-06,1,0,1,9,False,3,True,2,0.5,-0.0,51.0,0.0,6,116,122,Thursday,Winter
125,2011-01-06,1,0,1,10,False,3,True,1,1.4,1.0,47.0,0.0,3,42,45,Thursday,Winter
126,2011-01-06,1,0,1,11,False,3,True,1,2.3,1.0,44.0,9.7,2,57,59,Thursday,Winter
127,2011-01-06,1,0,1,12,False,3,True,1,4.2,3.0,35.0,0.0,6,78,84,Thursday,Winter
128,2011-01-06,1,0,1,13,False,3,True,1,4.2,2.0,35.0,11.3,12,55,67,Thursday,Winter
129,2011-01-06,1,0,1,14,False,3,True,1,5.2,2.0,36.0,17.7,11,59,70,Thursday,Winter
130,2011-01-06,1,0,1,15,False,3,True,1,5.2,2.0,36.0,0.0,8,54,62,Thursday,Winter
131,2011-01-06,1,0,1,16,False,3,True,1,4.2,1.0,38.0,17.7,12,74,86,Thursday,Winter
132,2011-01-06,1,0,1,17,False,3,True,1,2.3,-1.0,51.0,17.7,9,163,172,Thursday,Winter
133,2011-01-06,1,0,1,18,False,3,True,1,2.3,-1.0,51.0,14.5,5,158,163,Thursday,Winter
134,2011-01-06,1,0,1,19,False,3,True,1,2.3,1.0,55.0,9.7,3,109,112,Thursday,Winter
135,2011-01-06,1,0,1,20,False,3,True,1,1.4,-2.0,51.0,17.7,3,66,69,Thursday,Winter
136,2011-01-06,1,0,1,21,False,3,True,2,2.3,-2.0,55.0,24.1,0,48,48,Thursday,Winter
137,2011-01-06,1,0,1,22,False,3,True,2,2.3,-2.0,51.0,30.6,1,51,52,Thursday,Winter
